fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
0,RF-1,0,,,,
1,RF-1,4184,1768.0,0.7168290615081787,0.6562040221490799,0.5134096561418685
2,RF-1,5952,1228.0,0.723271369934082,0.6400924996561792,0.5714755927475592
3,RF-1,7180,705.0,0.556577205657959,0.6495464282669315,0.5221191178128977
4,RF-1,7885,827.0,0.6554708480834961,0.642500147126313,0.5554935158501442
5,RF-1,8712,1557.0,0.7096796035766602,0.6345045821417112,0.5354283587793938
6,RF-1,10269,510.0,0.806387186050415,0.6250023110314269,0.49835377031091493
7,RF-1,10779,260.0,0.9963746070861816,0.6216963490854763,0.5058069923371646
8,RF-1,11039,2091.0,0.8831653594970703,0.6206906245683268,0.5036875417989144
9,RF-1,13130,3548.0,0.8367395401000977,0.6245989018175011,0.5360730526981348
10,RF-1,16678,415.0,1.125474214553833,0.6065719416087736,0.5790375289900906
11,RF-1,17093,64.0,1.3253893852233887,0.5983911891890831,0.4454454454454454
12,RF-1,17157,246.0,0.85807204246521,0.6003581897913125,0.6223806366047745
13,RF-1,17403,191.0,1.0293233394622803,0.6024766331783875,0.5201017811704834
14,RF-1,17594,549.0,1.064692497253418,0.6016825687465752,0.4719678714859437
15,RF-1,18143,748.0,1.1025216579437256,0.6019240480841219,0.40712498212498216
16,RF-1,18891,889.0,1.0142626762390137,0.6048247500919726,0.5933804240313078
17,RF-1,19780,228.0,1.2424471378326416,0.6034988097302622,0.3980582524271844
18,RF-1,20008,183.0,1.108877182006836,0.5988965973288752,0.6152263374485596
19,RF-1,20191,233.0,1.8250668048858643,0.5993970468467631,0.5346801091570649
20,RF-1,20424,181.0,1.2564547061920166,0.5990737924962715,0.4518297236743839
21,RF-1,20605,111.0,1.099726676940918,0.6006951230000055,0.2909090909090909
22,RF-1,20716,115.0,1.2927112579345703,0.6012308724432955,0.4358573216520651
23,RF-1,20831,98.0,2.173640489578247,0.599895908411245,0.5114726741760534
24,RF-1,20929,1703.0,1.8024141788482666,0.5996468367902944,0.47680201812782214
25,RF-1,22632,310.0,3.06044602394104,0.5925601501763307,0.5397286821705427
26,RF-1,22942,259.0,2.739253044128418,0.5928628405700875,0.6096636085626912
27,RF-1,23201,65.0,1.4145362377166748,0.5902976728903628,0.7280701754385965
28,RF-1,23266,59.0,1.5929205417633057,0.5905627807263474,0.6654761904761904
29,RF-1,23325,77.0,1.1230998039245605,0.5904285737816415,0.591044776119403
30,RF-1,23402,99.0,1.2584526538848877,0.5892494603555872,0.5329218106995885
31,RF-1,23501,46.0,3.3748281002044678,0.5867873302532169,0.49019607843137253
32,RF-1,23547,299.0,3.2211711406707764,0.586359853944981,0.5992820792439114
33,RF-1,23846,336.0,0.9480235576629639,0.5861989363307851,0.5925153602681065
34,RF-1,24182,2351.0,2.2076117992401123,0.5863367521596666,0.524702056536589
35,RF-1,26533,1051.0,2.842961311340332,0.5838086025325426,0.5598430109399031
36,RF-1,27584,292.0,3.850670099258423,0.5837735978669136,0.43090149840334063
37,RF-1,27876,294.0,2.79571533203125,0.5830743568360466,0.4628873771730915
38,RF-1,28170,1998.0,1.5622422695159912,0.5815754856657629,0.4892783545338636
39,RF-1,30168,714.0,2.047274112701416,0.5794862909669347,0.5409470532618973
40,RF-1,30882,195.0,1.4084587097167969,0.5801861428993156,0.4635361458554165
41,RF-1,31077,120.0,1.5129051208496094,0.5794716399452289,0.3827160493827161
42,RF-1,31197,326.0,1.760634422302246,0.5811711888986606,0.5026981190255936
43,RF-1,31523,2538.0,2.2089040279388428,0.5806358521414984,0.5317495469593123
44,RF-1,34061,165.0,2.4892146587371826,0.5742696733592627,0.4206989247311828
45,RF-1,34226,2834.0,2.5237696170806885,0.5739952203943712,0.4706782154437372
46,RF-1,37060,2574.0,2.3721330165863037,0.5749107858424369,0.5272711749357692
47,RF-1,39634,2300.0,2.5987701416015625,0.5741584400517007,0.49024478107139396
48,RF-1,41934,2056.0,2.833326578140259,0.574714205719771,0.5619688731542585
49,RF-1,43990,1635.0,2.039990186691284,0.5758306984569996,0.6648220385411022
50,RF-1,45625,2290.0,1.9864792823791504,0.5767735161417742,0.5432483440940697
51,RF-1,47915,2340.0,1.8887007236480713,0.5784431627058473,0.5880270723176267
52,RF-1,50255,2850.0,3.1944220066070557,0.5785678684270794,0.5127918694293871
53,RF-1,53105,1657.0,3.2457807064056396,0.5778148581222536,0.5275096004408768
54,RF-1,54762,2084.0,1.9420149326324463,0.5720085497279679,0.48745942427672995
55,RF-1,56846,706.0,1.9147441387176514,0.573313598810788,0.44070483163696345
56,RF-1,57552,1028.0,2.7830898761749268,0.5735905330474795,0.5118045331861121
57,RF-1,58580,226.0,2.2404696941375732,0.5726574545090559,0.5298080689385037
58,RF-1,58806,724.0,2.6163525581359863,0.5723664867915897,0.4797140276244374
59,RF-1,59530,931.0,2.514153480529785,0.5725254819078774,0.514724076484872
60,RF-1,60461,1608.0,2.164768934249878,0.5700573883514202,0.48125484408429986
61,RF-1,62069,717.0,2.1184921264648438,0.5689970293286211,0.5309987353827419
62,RF-1,62786,649.0,2.0694148540496826,0.567820264653583,0.48391253899414133
63,RF-1,63435,820.0,2.083698272705078,0.5658605634720218,0.5687520452179088
64,RF-1,64255,330.0,2.1035549640655518,0.5663268579997839,0.3865477820119131
65,RF-1,64585,417.0,2.271686553955078,0.5656198879331886,0.4198830974349065
66,RF-1,65002,316.0,2.671783924102783,0.5644777657855611,0.4980694980694981
67,RF-1,65318,0.0,2.482624053955078,0.5633847940139269,
68,RF-1,65318,0.0,2.2392072677612305,0.5633847940139269,
69,RF-1,65318,1212.0,2.4815921783447266,0.5633847940139269,0.4427462165149633
70,RF-1,66530,0.0,2.338615894317627,0.5619930547878518,
71,RF-1,66530,0.0,2.595421314239502,0.5619930547878518,
72,RF-1,66530,0.0,2.3992631435394287,0.5619930547878518,
73,RF-1,66530,0.0,2.6290698051452637,0.5619930547878518,
74,RF-1,66530,1408.0,2.66031551361084,0.5619930547878518,0.47955774898066283
75,RF-1,67938,0.0,2.9364423751831055,0.5611384929965905,
76,RF-1,67938,1778.0,2.9678595066070557,0.5611384929965905,0.5200008356630607
77,RF-1,69716,1798.0,2.827000856399536,0.5623375719926664,0.505344592922544
78,RF-1,71514,1341.0,2.896057605743408,0.5624516856259106,0.49449200049830044
79,RF-1,72855,1086.0,3.230574607849121,0.5620277787769414,0.5389704882360942
80,RF-1,73941,2007.0,2.7134287357330322,0.5608743694667143,0.5134225888400492
81,RF-1,75948,1770.0,3.325409412384033,0.5598320485123802,0.48229477951806765
82,RF-1,77718,1604.0,3.0404889583587646,0.5595540003970356,0.505966006282462
83,RF-1,79322,1496.0,3.138725757598877,0.5583120499888157,0.42947765663239673
84,RF-1,80818,1819.0,2.9306178092956543,0.5580581612314873,0.4626575864004025
85,RF-1,82637,1386.0,3.371995687484741,0.5562287559391796,0.4632698627993114
86,RF-1,84023,1008.0,3.2520034313201904,0.5549252541220344,0.49805103116361393
87,RF-1,85031,658.0,3.348936080932617,0.555208000500289,0.48819743482891137
