fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
0,RF-2,0,,,,
1,RF-2,4184,1768.0,0.49408602714538574,0.7003220758987344,0.5167779519896194
2,RF-2,5952,1228.0,1.8287763595581055,0.6883757073814925,0.5845411436541145
3,RF-2,7180,705.0,0.6722948551177979,0.6815534657064259,0.5269440819680054
4,RF-2,7885,827.0,0.706089973449707,0.6786149067060834,0.562157780979827
5,RF-2,8712,1557.0,0.6806790828704834,0.6695854020065085,0.5407505749669771
6,RF-2,10269,510.0,0.6669261455535889,0.6642412359473753,0.510793927637082
7,RF-2,10779,260.0,0.9934866428375244,0.6597425334742913,0.5102969348659003
8,RF-2,11039,2091.0,0.9508886337280273,0.6604541790484619,0.5100483666554587
9,RF-2,13130,3548.0,0.9107203483581543,0.6602789797822981,0.5409767920689347
10,RF-2,16678,415.0,0.9482479095458984,0.6505002977763327,0.5669144001686697
11,RF-2,17093,64.0,0.9703917503356934,0.6431159614395894,0.4814814814814814
12,RF-2,17157,246.0,0.9566421508789062,0.644975619792088,0.6586206896551724
13,RF-2,17403,191.0,0.820178747177124,0.6485063561086953,0.5
14,RF-2,17594,549.0,0.8387115001678467,0.6448911010520442,0.46923694779116465
15,RF-2,18143,748.0,1.0214064121246338,0.6461828038883047,0.41573716573716574
16,RF-2,18891,889.0,0.9926972389221191,0.6457693056458556,0.5798660387906936
17,RF-2,19780,228.0,0.8908438682556152,0.6438495319091948,0.36543689320388345
18,RF-2,20008,183.0,0.8931970596313477,0.6402170368087835,0.6258775114984265
19,RF-2,20191,233.0,1.0522582530975342,0.6404579760951657,0.5625379017586416
20,RF-2,20424,181.0,1.094557285308838,0.6404227815161891,0.46402788150360974
21,RF-2,20605,111.0,0.9256386756896973,0.6409368037104226,0.3061688311688312
22,RF-2,20716,115.0,1.034672737121582,0.6413404100184704,0.4524405506883604
23,RF-2,20831,98.0,1.1387503147125244,0.6405867166297743,0.5456821026282853
24,RF-2,20929,1703.0,1.009690761566162,0.6408865592084083,0.48264774395831267
25,RF-2,22632,310.0,0.9668209552764893,0.6363367614588746,0.5235085945399394
26,RF-2,22942,259.0,1.0081162452697754,0.635586981254815,0.6091743119266055
27,RF-2,23201,65.0,1.1604619026184082,0.6331980550295954,0.6676413255360624
28,RF-2,23266,59.0,1.0553898811340332,0.6324297972436006,0.6904761904761905
29,RF-2,23325,77.0,1.084920883178711,0.6327414223217046,0.5313432835820895
30,RF-2,23402,99.0,1.113865852355957,0.6319617060344077,0.5010288065843621
31,RF-2,23501,46.0,1.3025503158569336,0.6310536307619918,0.5122549019607843
32,RF-2,23547,299.0,1.0731439590454102,0.6307449307137649,0.6129134860050891
33,RF-2,23846,336.0,1.0415124893188477,0.6314935430224327,0.5641407559113759
34,RF-2,24182,2351.0,1.1859383583068848,0.6295624659115757,0.526705908000872
35,RF-2,26533,1051.0,1.2316415309906006,0.6249507806821926,0.5548047067699718
36,RF-2,27584,292.0,1.134840726852417,0.6240016672895909,0.4337509211495947
37,RF-2,27876,294.0,1.1784658432006836,0.6243359155853876,0.44207608969513734
38,RF-2,28170,1998.0,1.2122600078582764,0.6241035480972812,0.4952225722307074
39,RF-2,30168,714.0,1.2359704971313477,0.6256395414103009,0.5448944216829499
40,RF-2,30882,195.0,1.211301565170288,0.6277082822411756,0.4917320330718677
41,RF-2,31077,120.0,1.4071907997131348,0.6285016782727364,0.4301075268817204
42,RF-2,31197,326.0,1.2939209938049316,0.6299050453229598,0.5271353684859698
43,RF-2,31523,2538.0,1.3501760959625244,0.6292393414220065,0.5237764105004201
44,RF-2,34061,165.0,1.5349512100219727,0.614630373563602,0.40785543608124253
45,RF-2,34226,2834.0,1.4106497764587402,0.615661225813573,0.4801994515832032
46,RF-2,37060,2574.0,1.5423908233642578,0.6165507198339947,0.536861424586232
47,RF-2,39634,2300.0,1.7879531383514404,0.6165331933004519,0.5042161617262424
48,RF-2,41934,2056.0,1.8601081371307373,0.6158482920338144,0.555466945408871
49,RF-2,43990,1635.0,2.125840663909912,0.6172596510857995,0.6650121395191492
50,RF-2,45625,2290.0,2.034900665283203,0.6107976371036457,0.5444953062534462
51,RF-2,47915,2340.0,2.0817582607269287,0.6103499971628294,0.5804061286322586
52,RF-2,50255,2850.0,2.4983272552490234,0.6078181108361643,0.5093138865901414
53,RF-2,53105,1657.0,2.4474782943725586,0.6032139406105849,0.5061816050595854
54,RF-2,54762,2084.0,3.0056638717651367,0.5985542487943292,0.48514240097020134
55,RF-2,56846,706.0,2.8602540493011475,0.5981197785666938,0.45854286518888043
56,RF-2,57552,1028.0,2.8303072452545166,0.5984559942841592,0.5081431726168568
57,RF-2,58580,226.0,3.078747272491455,0.5985083567258755,0.5416372894633764
58,RF-2,58806,724.0,3.1914279460906982,0.5984989970740362,0.4694996255491303
59,RF-2,59530,931.0,3.1186747550964355,0.5968301294153794,0.5173115807550619
60,RF-2,60461,1608.0,3.0538389682769775,0.5948054687809119,0.49515707595988284
61,RF-2,62069,717.0,3.2461838722229004,0.5962658276108279,0.5287583332032286
62,RF-2,62786,649.0,3.111511707305908,0.5957501715339112,0.4716959598265236
63,RF-2,63435,820.0,3.3975908756256104,0.5948425359748277,0.557138182359066
64,RF-2,64255,330.0,3.0405049324035645,0.5962773283940919,0.3801472492508046
65,RF-2,64585,417.0,3.4117798805236816,0.5960838272282908,0.4160185498285107
66,RF-2,65002,316.0,3.439993143081665,0.5951462757190038,0.4914333976833977
67,RF-2,65318,0.0,3.328888416290283,0.5948322461734271,
68,RF-2,65318,0.0,3.6254594326019287,0.5948322461734271,
69,RF-2,65318,1212.0,3.169080972671509,0.5948322461734271,0.4462124210210292
70,RF-2,66530,0.0,3.567559003829956,0.5939731238128376,
71,RF-2,66530,0.0,3.535874366760254,0.5939731238128376,
72,RF-2,66530,0.0,3.252995491027832,0.5939731238128376,
73,RF-2,66530,0.0,3.7341554164886475,0.5939731238128376,
74,RF-2,66530,1408.0,3.42977237701416,0.5939731238128376,0.479453796778491
75,RF-2,67938,0.0,3.6688690185546875,0.5947330608760557,
76,RF-2,67938,1778.0,4.0133373737335205,0.5947330608760557,0.5413007475385925
77,RF-2,69716,1798.0,3.5692059993743896,0.5966784989672355,0.5047055184360307
78,RF-2,71514,1341.0,3.8528923988342285,0.5965141066955136,0.5145485931910804
79,RF-2,72855,1086.0,4.4238386154174805,0.596294535857766,0.5234054127566979
80,RF-2,73941,2007.0,4.9579784870147705,0.5963011728810704,0.5205259195846351
81,RF-2,75948,1770.0,6.756748676300049,0.5918922350751941,0.4614894658847636
82,RF-2,77718,1604.0,4.533831596374512,0.5918705448322082,0.5155117718408857
83,RF-2,79322,1496.0,5.090822219848633,0.5901063264829269,0.4298897177783379
84,RF-2,80818,1819.0,5.812069654464722,0.5886503808978996,0.46417237509191533
85,RF-2,82637,1386.0,5.207247972488403,0.5884140740914083,0.46739840367259633
86,RF-2,84023,1008.0,5.071020603179932,0.5869721594630357,0.5203468369031283
87,RF-2,85031,658.0,5.054186582565308,0.5856865061530581,0.5104783071722924
88,RF-2,85689,660.0,5.157780885696411,0.5858899698311042,0.48160782464801105
89,RF-2,86349,541.0,4.946407318115234,0.5859087065967105,0.4539117598819091
90,RF-2,86890,366.0,5.1800243854522705,0.5871844705866129,0.530125255234206
91,RF-2,87256,1332.0,5.302523612976074,0.5871220162668598,0.4204396813798454
92,RF-2,88588,1836.0,5.3696887493133545,0.5857010407778104,0.45224095436211503
93,RF-2,90424,1002.0,5.370019912719727,0.5860091702488329,0.5521556550951847
94,RF-2,91426,945.0,5.619103193283081,0.5855417063410966,0.5098933936359231
95,RF-2,92371,1950.0,5.601969003677368,0.5827581050902094,0.46815192142604656
96,RF-2,94321,2015.0,6.050061464309692,0.5818149624676077,0.5190060828191596
97,RF-2,96336,970.0,5.770815134048462,0.580649368678188,0.5418437724706313
98,RF-2,97306,557.0,5.816523790359497,0.5793498184122207,0.5421093347086127
99,RF-2,97863,1670.0,5.915048837661743,0.5792887750845084,0.4919660081035534
100,RF-2,99533,629.0,6.1603686809539795,0.578093304775549,0.5681583162675643
