fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
7,RF-4,10779,260.0,0.8909015655517578,0.7017121874114665,0.5085608237547893
8,RF-4,11039,2091.0,0.9009039402008057,0.7029674645555204,0.5176571546809242
9,RF-4,13130,3548.0,0.840031623840332,0.700869630186128,0.5468647811742581
10,RF-4,16678,415.0,1.116485834121704,0.7007888866412982,0.551180687328695
11,RF-4,17093,64.0,1.2021431922912598,0.6952260749784515,0.4574574574574575
12,RF-4,17157,246.0,1.395491361618042,0.697286961499052,0.6675066312997346
13,RF-4,17403,191.0,1.1576340198516846,0.6975373013384709,0.48358778625954196
14,RF-4,17594,549.0,1.1724622249603271,0.6972535002828939,0.45247657295850063
15,RF-4,18143,748.0,1.0721356868743896,0.698755249151773,0.4096382096382096
16,RF-4,18891,889.0,1.2217235565185547,0.6945350308848497,0.5653732851675053
17,RF-4,19780,228.0,1.2055635452270508,0.6928793541756745,0.3603106796116505
18,RF-4,20008,183.0,1.5674662590026855,0.6926768275215367,0.6596465746792544
19,RF-4,20191,233.0,1.402770757675171,0.6906290633421933,0.5609460278956944
20,RF-4,20424,181.0,1.26228928565979,0.690838884831029,0.4651481204879263
21,RF-4,20605,111.0,1.2328662872314453,0.6918100841136752,0.36006493506493503
22,RF-4,20716,115.0,1.2674148082733154,0.6925452365893787,0.4530663329161451
23,RF-4,20831,98.0,1.240673303604126,0.6915583289592921,0.5523571130579892
24,RF-4,20929,1703.0,1.3809728622436523,0.6936525669959326,0.48489026153965054
25,RF-4,22632,310.0,1.3618638515472412,0.691985509616073,0.514577013818672
26,RF-4,22942,259.0,1.3631727695465088,0.6895538429223654,0.5886850152905199
27,RF-4,23201,65.0,1.5401365756988525,0.6887627316911856,0.5857699805068226
28,RF-4,23266,59.0,1.3627142906188965,0.6875523965259394,0.7452380952380953
29,RF-4,23325,77.0,1.4168028831481934,0.6875636743364908,0.49104477611940295
30,RF-4,23402,99.0,1.704608678817749,0.6866891828219829,0.5102880658436214
31,RF-4,23501,46.0,2.308868646621704,0.6834473131048979,0.47549019607843135
32,RF-4,23547,299.0,1.5812134742736816,0.6846905272156625,0.6240003635041803
33,RF-4,23846,336.0,1.6706652641296387,0.6877529879992527,0.5397505120089368
34,RF-4,24182,2351.0,2.174126148223877,0.6865704804090527,0.5273017949276942
35,RF-4,26533,1051.0,1.9903922080993652,0.6869191245070616,0.5602311308435622
36,RF-4,27584,292.0,1.9016451835632324,0.6833090904733049,0.4513878653893393
37,RF-4,27876,294.0,2.317039966583252,0.6863815135819151,0.43139329805996474
38,RF-4,28170,1998.0,1.7674477100372314,0.685868585763671,0.5130829205546843
39,RF-4,30168,714.0,1.9346346855163574,0.6889901339092928,0.566033722029625
